№,Name,Reg_number,Name_Full,Company_year,Size_company,Conflict,T,Capital,Clr,Returns,Ndter,Rddta,Total_debt
80,"24 ЭКСПРЕСС, ООО",1.14E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""24 ЭКСПРЕСС""",10,0,0,0,-3847000,0.4623,-4.6984,-2.4292,0.5074,40656000
81,"24 ЭТАЖ, ООО",5.11E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""24 ЭТАЖ""",12,,0,1,12743000,2.5924,-0.0655,-0.0072,0.9381,7344000
81,"24 ЭТАЖ, ООО",5.11E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""24 ЭТАЖ""",12,,0,0,14740000,1.1583,-0.0052,1.5125,0.5158,90895000
84,"268 МЗ, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""268 МЕТАЛЛООБРАБАТЫВАЮЩИЙ ЗАВОД""",28,0,0,0,26463000,4.697,0.0093,-0.0055,0.2773,3944000
84,"268 МЗ, ООО",1.16E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""268 МЕТАЛЛООБРАБАТЫВАЮЩИЙ ЗАВОД""",28,0,0,1,26301000,3.0438,-0.0018,-0.0016,0.219,7624000
86,"2Б ПРОЕКТ, ООО",1.13E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2Б ПРОЕКТ""",10.5,1,0,0,23030000,1.0441,0.084,10.2607,0.3726,466105000
86,"2Б ПРОЕКТ, ООО",1.13E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2Б ПРОЕКТ""",10.5,1,0,1,50872000,1.0658,0.0744,1.5949,0.268,727411000
87,"2БТ ИНЖИНИРИНГ, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2БТ ИНЖИНИРИНГ""",5.5,0,0,0,982000,1.0784,0.0192,-5.1059,0.3246,10689000
87,"2БТ ИНЖИНИРИНГ, ООО",1.18E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2БТ ИНЖИНИРИНГ""",5.5,0,0,1,1537000,1.1199,0.0263,-0.6975,0.8491,12241000
88,"2В СЕРВИС, ЗАО",1.1E+12,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""2В СЕРВИС""",13,0,0,0,7618000,1.0395,0.057,5.3477,0.1926,53579000
88,"2В СЕРВИС, ЗАО",1.1E+12,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""2В СЕРВИС""",13,0,0,1,9665000,5.3739,0.0624,3.705,0.1987,53637000
89,"2ЗАК, ООО",1.14E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2ЗАК""",9.5,,0,0,4072000,1.0271,,36.863,1,150199000
89,"2ЗАК, ООО",1.14E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2ЗАК""",9.5,,0,1,7396000,1.0471,,21.2205,0.9999,157090000
91,"2М, ООО",1.15E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2М""",8.5,0,0,1,31028000,1.1394,0.0903,-0.7788,0.5873,125430000
91,"2М, ООО",1.15E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2М""",8.5,0,0,0,18834000,1.0765,0.0515,0.5372,0.7029,88461000
92,"2МЕН ГРУПП, АО",1.07E+12,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""2МЕН ГРУПП ДЕВЕЛОПМЕНТ""",16.5,0,0,1,83139000,0.7109,0.2889,3.8686,0.3568,2250762000
92,"2МЕН ГРУПП, АО",1.07E+12,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""2МЕН ГРУПП ДЕВЕЛОПМЕНТ""",16.5,0,0,0,83083000,0.7027,0.4458,6.3781,0.302,2097934000
93,"2МК, ООО",1.17E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВТОРОЙ МЕБЕЛЬНЫЙ КОМБИНАТ""",7,1,0,1,24170000,1.2672,0.0284,10.4058,0.1987,499076000
93,"2МК, ООО",1.17E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВТОРОЙ МЕБЕЛЬНЫЙ КОМБИНАТ""",7,1,0,0,12055000,1.9305,0.0691,17.4332,0.3259,319319000
94,"2РС, ООО",1.09E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2РС""",14,1,0,0,543066000,3.231,0.1446,0.0975,0.1204,236638000
94,"2РС, ООО",1.09E+12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""2РС""",14,1,0,1,680777000,5.0315,0.1396,0.1156,0.1156,228122000
